TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,PAY_PERIOD,PRICE_BASE,AGGREGATION_OPERATION,SEX,OBS_VALUE
2022,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.3957409051
2023,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,1.0416666667
2005,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,5.652173913
2006,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,4.347826087
2007,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.2284100081
2008,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,5.303030303
2009,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.4533431301
2010,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.1428571429
2011,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,1.8465909091
2012,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,1.3793103448
2016,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,12.755307692
2017,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,11.251349353
2018,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,10.628862538
2019,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,9.3855889861
2020,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,2.9639540816
2021,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,3.3405065793
2022,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,1.8587360566
2023,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,1.9455252918
2007,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,7.5131233602
2008,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,10.813953488
2009,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,10
2010,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,12.661498709
2011,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,12.637804878
2012,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.497685185
2013,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,13.592555666
2014,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,14.772666666
2014,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.9713477184
2015,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.3093072078
2016,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,5.4128126071
2017,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,5.1539491299
2018,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.7171052632
2019,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,4.1061276058
2020,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.8177339901
2021,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.8176975437
2022,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.5433070866
2023,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.2600372241
2005,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,4.2726836294
2006,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,4.2612320519
2007,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,4.1908158716
2008,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,4.804045512
2009,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.90625
2010,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.957261575
2011,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,3.8461538462
2012,NOR,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,2.7767354597
2010,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,29.513991163
2014,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,23.726495726
2018,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.343522562
2019,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,25.141615305
2020,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,26.041450059
2021,GRC,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,26.771599423
2017,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,32.03938648
2018,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,32.701688555
2019,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,31.343002449
2020,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,31.969839774
2021,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,30.588907947
2022,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,30.281425891
2023,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,31.050984723
2005,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,38.424197162
2006,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,38.199513382
2007,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,37.102539981
2008,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,36.284028174
2010,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,50
2011,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,40
2012,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,44.444444444
2013,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,37.5
2014,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,44.615384616
2014,USA,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,22.58834766
2018,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,39.642857143
2019,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,37.5
2020,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,22.944444445
2021,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,30.555555556
2022,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,14.285714286
2023,COL,GWP,PT_WG_SAL_M_D,_Z,_Z,D1,_T,17.5
2011,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,27.395364926
2012,JPN,GWP,PT_WG_SAL_M_D,_Z,_Z,MEDIAN,_T,26.523545706
2014,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20
2015,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,20.278053625
2016,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,19.795356159
2017,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,16.9867353
2018,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,18.353831599
2019,NZL,GWP,PT_WG_SAL_M_D,_Z,_Z,D9,_T,16.410352588
